word;pos;definition
Odible;a.;Fitted to excite hatred; hateful.
Odic;a.;Of or pertaining to od. See Od.
Odin;n.;The supreme deity of the Scandinavians; -- the same as Woden, of the German tribes.
Odinic;a.;Of or pertaining to Odin.
Odious;a.;Hateful; deserving or receiving hatred; as, an odious name, system, vice.
Odious;a.;Causing or provoking hatred, repugnance, or disgust; offensive; disagreeable; repulsive; as, an odious sight; an odious smell.
Odist;n.;A writer of an ode or odes.
Odium;n.;Hatred; dislike; as, his conduct brought him into odium, or, brought odium upon him.
Odium;n.;The quality that provokes hatred; offensiveness.
Odized;imp. & p. p.;of Odize
Odizing;p. pr. & vb. n.;of Odize
Odize;v. t.;To charge with od. See Od.
Odmyl;n.;A volatile liquid obtained by boiling sulphur with linseed oil. It has an unpleasant garlic odor.
Odometer;n.;An instrument attached to the wheel of a vehicle, to measure the distance traversed; also, a wheel used by surveyors, which registers the miles and rods traversed.
Odometrical;a.;Of or pertaining to the odometer, or to measurements made with it.
Odometrous;a.;Serving to measure distance on a road.
Odometry;n.;Measurement of distances by the odometer.
Odonata;n. pl.;The division of insects that includes the dragon flies.
Odontalgia;n.;Toothache.
Odontalgic;a.;Of or pertaining to odontalgia.
Odontalgic;n.;A remedy for the toothache.
Odontalgy;n.;Same as Odontalgia.
Odontiasis;n.;Cutting of the teeth; dentition.
Odonto-;;A combining form from Gr. 'odoy`s, 'odo`ntos, a tooth.
Odontoblast;n.;One of the more or less columnar cells on the outer surface of the pulp of a tooth; an odontoplast. They are supposed to be connected with the formation of dentine.
Odontoblast;n.;One of the cells which secrete the chitinous teeth of Mollusca.
Odontocete;n.pl.;A subdivision of Cetacea, including the sperm whale, dolphins, etc.; the toothed whales.
Odontogeny;n.;Generetion, or mode of development, of the teeth.
Odontograph;n.;An instrument for marking or laying off the outlines of teeth of gear wheels.
Odontographic;a.;Of or pertaining to odontography.
Odontography;n.;A description of the teeth.
Odontoid;a.;Having the form of a tooth; toothlike.
Odontoid;a.;Of or pertaining to the odontoid bone or to the odontoid process.
Odontolcae;n. pl.;An extinct order of ostrichlike aquatic birds having teeth, which are set in a groove in the jaw. It includes Hesperornis, and allied genera. See Hesperornis.
Odontolite;n.;A fossil tooth colored a bright blue by phosphate of iron. It is used as an imitation of turquoise, and hence called bone turquoise.
Odontology;n.;The science which treats of the teeth, their structure and development.
Odontophora;n.pl.;Same as Cephalophora.
Odontophore;n.;A special structure found in the mouth of most mollusks, except bivalves. It consists of several muscles and a cartilage which supports a chitinous radula, or lingual ribbon, armed with teeth.  Also applied to the radula alone. See Radula.
Odontophorous;a.;Having an odontophore.
Odontoplast;n.;An odontoblast.
Odontopteryx;n.;An extinct Eocene bird having the jaws strongly serrated, or dentated, but destitute of true teeth. It was found near London.
Odontornithes;n. pl.;A group of Mesozoic birds having the jaws armed with teeth, as in most other vertebrates. They have been divided into three orders: Odontolcae, Odontotormae, and Saururae.
Odontostomatous;a.;Having toothlike mandibles; -- applied to certain insects.
Odontotormae;n.pl.;An order of extinct toothed birds having the teeth in sockets, as in the genus Ichthyornis. See Ichthyornis.
Odor;n.;Any smell, whether fragrant or offensive; scent; perfume.
Odorament;n.;A perfume; a strong scent.
Odorant;a.;Yielding odors; fragrant.
Odorate;a.;Odorous.
Odorating;a.;Diffusing odor or scent; fragrant.
Odoriferous;a.;Bearing or yielding an odor; perfumed; usually, sweet of scent; fragrant; as, odoriferous spices, particles, fumes, breezes.
Odorline;n.;A pungent oily substance obtained by redistilling bone oil.
Odorless;a.;Free from odor.
Odorous;a.;Having or emitting an odor or scent, esp. a sweet odor; fragrant; sweet-smelling.
Ods;interj.;A corruption of God's; -- formerly used in oaths and ejaculatory phrases.
Odyl;n.;Alt. of Odyle
Odyle;n.;See Od. [Archaic].
Odylic;a.;Of or pertaining to odyle; odic; as, odylic force.
Odyssey;n.;An epic poem attributed to Homer, which describes the return of Ulysses to Ithaca after the siege of Troy.
Oe;;a diphthong, employed in the Latin language, and thence in the English language, as the representative of the Greek diphthong oi. In many words in common use, e alone stands instead of /. Classicists prefer to write the diphthong oe separate in Latin words.
Oecoid;n.;The colorless porous framework, or stroma, of red blood corpuscles from which the zooid, or hemoglobin and other substances of the corpuscles, may be dissolved out.
Oecology;n.;The various relations of animals and plants to one another and to the outer world.
Oeconomical;a.;See Economical.
Oeconomics;n.;See Economics.
Oeconomy;n.;See Economy.
Oecumenical;a.;See Ecumenical.
Oedema;n.;A swelling from effusion of watery fluid in the cellular tissue beneath the skin or mucous membrance; dropsy of the subcutaneous cellular tissue.
Oedematous;a.;Pertaining to, or of the nature of, edema; affected with edema.
Oeiliad;n.;Alt. of Oeillade
Oeillade;n.;A glance of the eye; an amorous look.
Oelet;n.;An eye, bud, or shoot, as of a plant; an oilet.
Oenanthate;n.;A salt of the supposed /nanthic acid.
Oenanthic;a.;Having, or imparting, the odor characteristic of the bouquet of wine; specifically used, formerly, to designate an acid whose ethereal salts were supposed to occasion the peculiar bouquet, or aroma, of old wine.  Cf. Oenanthylic.
Oenanthol;n.;An oily substance obtained by the distillation of castor oil, recognized as the aldehyde of oenanthylic acid, and hence called also oenanthaldehyde.
Oenanthone;n.;The ketone of oenanthic acid.
Oenanthyl;n.;A hydrocarbon radical formerly supposed to exist in oenanthic acid, now known to be identical with heptyl.
Oenanthylate;n.;A salt of /nanthylic acid; as, potassium oenanthylate.
Oenanthylic;a.;Pertaining to, derived from, or containing, oenanthyl; specifically, designating an acid formerly supposed to be identical with the acid in oenanthic ether, but now known to be identical with heptoic acid.
Oenanthylidene;n.;A colorless liquid hydrocarbon, having a garlic odor; heptine.
Oenanthylous;a.;Of, pertaining to, or designating, an acid formerly supposed to be the acid of oenanthylic ether, but now known to be a mixture of higher acids, especially capric acid.
Oenocyan;n.;The coloring matter of red wines.
Oenology;n.;Knowledge of wine, scientific or practical.
Oenomania;n.;Delirium tremens.
Oenomania;n.;Dipsomania.
Oenomel;n.;Wine mixed with honey; mead,
Oenometer;n.;See Alcoholometer.
Oenophilist;n.;A lover of wine.
Oenothionic;a.;Pertaining to an acid now called sulphovinic, / ethyl sulphuric, acid.
O'er;prep. & adv.;A contr. of Over.
Oesophagus;a.;Alt. of Oesophageal
Oesophageal;a.;Same as Esophagus, Esophageal, etc.
Oestrian;a.;Of or pertaining to the gadflies.
Oestrian;n.;A gadfly.
Oestrual;a.;Of or pertaining to sexual desire; -- mostly applied to brute animals; as, the oestrual period; oestrual influence.
Oestruation;n.;The state of being under oestrual influence, or of having sexual desire.
Oestrus;n.;A genus of gadflies. The species which deposits its larvae in the nasal cavities of sheep is oestrus ovis.
Oestrus;n.;A vehement desire; esp. (Physiol.), the periodical sexual impulse of animals; heat; rut.
Of;prep.;In a general sense, from, or out from; proceeding from; belonging to; relating to; concerning; -- used in a variety of applications; as:
Of;prep.;Denoting that from which anything proceeds; indicating origin, source, descent, and the like; as, he is of a race of kings; he is of noble blood.
Of;prep.;Denoting possession or ownership, or the relation of subject to attribute; as, the apartment of the consul: the power of the king; a man of courage; the gate of heaven.
Of;prep.;Denoting the material of which anything is composed, or that which it contains; as, a throne of gold; a sword of steel; a wreath of mist; a cup of water.
Of;prep.;Denoting part of an aggregate or whole; belonging to a number or quantity mentioned; out of; from amongst; as, of this little he had some to spare; some of the mines were unproductive; most of the company.
Of;prep.;Denoting that by which a person or thing is actuated or impelled; also, the source of a purpose or action; as, they went of their own will; no body can move of itself; he did it of necessity.
Of;prep.;Denoting reference to a thing; about; concerning; relating to; as, to boast of one's achievements.
Of;prep.;Denoting nearness or distance, either in space or time; from; as, within a league of the town; within an hour of the appointed time.
Of;prep.;Denoting identity or equivalence; -- used with a name or appellation, and equivalent to the relation of apposition; as, the continent of America; the city of Rome; the Island of Cuba.
Of;prep.;Denoting the agent, or person by whom, or thing by which, anything is, or is done; by.
Of;prep.;Denoting relation to place or time; belonging to, or connected with; as, men of Athens; the people of the Middle Ages; in the days of Herod.
Of;prep.;Denoting passage from one state to another; from.
Of;prep.;During; in the course of.
Off;adv.;In a general sense, denoting from or away from; as:
Off;adv.;Denoting distance or separation; as, the house is a mile off.
Off;adv.;Denoting the action of removing or separating; separation; as, to take off the hat or cloak; to cut off, to pare off, to clip off, to peel off, to tear off, to march off, to fly off, and the like.
Off;adv.;Denoting a leaving, abandonment, departure, abatement, interruption, or remission; as, the fever goes off; the pain goes off; the game is off; all bets are off.
Off;adv.;Denoting a different direction; not on or towards: away; as, to look off.
Off;adv.;Denoting opposition or negation.
Off;interj.;Away; begone; -- a command to depart.
Off;prep.;Not on; away from; as, to be off one's legs or off the bed; two miles off the shore.
Off;a.;On the farther side; most distant; on the side of an animal or a team farthest from the driver when he is on foot; in the United States, the right side; as, the off horse or ox in a team, in distinction from the nigh or near horse or ox; the off leg.
Off;a.;Designating a time when one is not strictly attentive to business or affairs, or is absent from his post, and, hence, a time when affairs are not urgent; as, he took an off day for fishing: an off year in politics.
Off;n.;The side of the field that is on the right of the wicket keeper.
Offal;n.;The rejected or waste parts of a butchered animal.
Offal;n.;A dead body; carrion.
Offal;n.;That which is thrown away as worthless or unfit for use; refuse; rubbish.
Offcut;n.;That which is cut off.
Offcut;n.;A portion ofthe printed sheet, in certain sizes of books, that is cut off before folding.
Offence;n.;See Offense.
Offended;imp. & p. p.;of Offend
Offending;p. pr. & vb. n.;of Offend
Offend;v. t.;To strike against; to attack; to assail.
Offend;v. t.;To displease; to make angry; to affront.
Offend;v. t.;To be offensive to; to harm; to pain; to annoy; as, strong light offends the eye; to offend the conscience.
Offend;v. t.;To transgress; to violate; to sin against.
Offend;v. t.;To oppose or obstruct in duty; to cause to stumble; to cause to sin or to fall.
Odfend;v. i.;To transgress the moral or divine law; to commit a crime; to stumble; to sin.
Odfend;v. i.;To cause dislike, anger, or vexation; to displease.
Offendant;n.;An offender.
Offender;n.;One who offends; one who violates any law, divine or human; a wrongdoer.
Offendress;n.;A woman who offends.
Offense;n.;Alt. of Offence
Offence;n.;The act of offending in any sense; esp., a crime or a sin, an affront or an injury.
Offence;n.;The state of being offended or displeased; anger; displeasure.
Offence;n.;A cause or occasion of stumbling or of sin.
Offenseful;a.;Causing offense; displeasing; wrong; as, an offenseful act.
Offenseless;a.;Unoffending; inoffensive.
Offensible;a.;That may give offense.
Offension;n.;Assault; attack.
Offensive;a.;Giving offense; causing displeasure or resentment; displeasing; annoying; as, offensive words.
Offensive;a.;Giving pain or unpleasant sensations; disagreeable; revolting; noxious; as, an offensive smell; offensive sounds.
Offensive;a.;Making the first attack; assailant; aggressive; hence, used in attacking; -- opposed to defensive; as, an offensive war; offensive weapons.
Offensive;n.;The state or posture of one who offends or makes attack; aggressive attitude; the act of the attacking party; -- opposed to defensive.
Offered;imp. & p. p.;of Offer
Offering;p. pr. & vb. n.;of Offer
Offer;v. t.;To present, as an act of worship; to immolate; to sacrifice; to present in prayer or devotion; -- often with up.
Offer;v. t.;To bring to or before; to hold out to; to present for acceptance or rejection; as, to offer a present, or a bribe; to offer one's self in marriage.
Offer;v. t.;To present in words; to proffer; to make a proposal of; to suggest; as, to offer an opinion. With the infinitive as an objective: To make an offer; to declare one's willingness; as, he offered to help me.
Offer;v. t.;To attempt; to undertake.
Offer;v. t.;To bid, as a price, reward, or wages; as, to offer a guinea for a ring; to offer a salary or reward.
Offer;v. t.;To put in opposition to; to manifest in an offensive way; to threaten; as, to offer violence, attack, etc.
Offer;v. i.;To present itself; to be at hand.
Offer;v. i.;To make an attempt; to make an essay or a trial; -- used with at.
Offer;v. t.;The act of offering, bringing forward, proposing, or bidding; a proffer; a first advance.
Offer;v. t.;That which is offered or brought forward; a proposal to be accepted or rejected; a sum offered; a bid.
Offer;v. t.;Attempt; endeavor; essay; as, he made an offer to catch the ball.
Offerable;a.;Capable of being offered; suitable or worthy to be offered.
Offerer;n.;One who offers; esp., one who offers something to God in worship.
Offering;n.;The act of an offerer; a proffering.
Offering;n.;That which is offered, esp. in divine service; that which is presented as an expiation or atonement for sin, or as a free gift; a sacrifice; an oblation; as, sin offering.
Offering;n.;A sum of money offered, as in church service; as, a missionary offering. Specif.: (Ch. of Eng.) Personal tithes payable according to custom, either at certain seasons as Christmas or Easter, or on certain occasions as marriages or christenings.
Offertories;pl. ;of Offertory
Offertory;n.;The act of offering, or the thing offered.
Offertory;n.;An anthem chanted, or a voluntary played on the organ, during the offering and first part of the Mass.
Offertory;n.;That part of the Mass which the priest reads before uncovering the chalice to offer up the elements for consecration.
Offertory;n.;The oblation of the elements.
Offertory;n.;The Scripture sentences said or sung during the collection of the offerings.
Offertory;n.;The offerings themselves.
Offerture;n.;Offer; proposal; overture.
Offhand;a.;Instant; ready; extemporaneous; as, an offhand speech; offhand excuses.
Offhand;adv.;In an offhand manner; as, he replied offhand.
Office;n.;That which a person does, either voluntarily or by appointment, for, or with reference to, others; customary duty, or a duty that arises from the relations of man to man; as, kind offices, pious offices.
Office;n.;A special duty, trust, charge, or position, conferred by authority and for a public purpose; a position of trust or authority; as, an executive or judical office; a municipal office.
Office;n.;A charge or trust, of a sacred nature, conferred by God himself; as, the office of a priest under the old dispensation, and that of the apostles in the new.
Office;n.;That which is performed, intended, or assigned to be done, by a particular thing, or that which anything is fitted to perform; a function; -- answering to duty in intelligent beings.
Office;n.;The place where a particular kind of business or service for others is transacted; a house or apartment in which public officers and others transact business; as, the register's office; a lawyer's office.
Office;n.;The company or corporation, or persons collectively, whose place of business is in an office; as, I have notified the office.
Office;n.;The apartments or outhouses in which the domestics discharge the duties attached to the service of a house, as kitchens, pantries, stables, etc.
Office;n.;Any service other than that of ordination and the Mass; any prescribed religious service.
Office;v. t.;To perform, as the duties of an office; to discharge.
Officeholder;n.;An officer, particularly one in the civil service; a placeman.
Officer;n.;One who holds an office; a person lawfully invested with an office, whether civil, military, or ecclesiastical; as, a church officer; a police officer; a staff officer.
Officer;n.;Specifically, a commissioned officer, in distinction from a warrant officer.
Officered;imp. & p. p.;of Officer
Officering;p. pr. & vb. n.;of Officer
Officer;v. t.;To furnish with officers; to appoint officers over.
Officer;v. t.;To command as an officer; as, veterans from old regiments officered the recruits.
Official;n.;Of or pertaining to an office or public trust; as, official duties, or routine.
Official;n.;Derived from the proper office or officer, or from the proper authority; made or communicated by virtue of authority; as, an official statement or report.
Official;n.;Approved by authority; sanctioned by the pharmacopoeia; appointed to be used in medicine; as, an official drug or preparation.  Cf. Officinal.
Official;n.;Discharging an office or function.
Official;a.;One who holds an office; esp., a subordinate executive officer or attendant.
Official;a.;An ecclesiastical judge appointed by a bishop, chapter, archdeacon, etc., with charge of the spiritual jurisdiction.
Officialism;n.;The state of being official; a system of official government; also, adherence to office routine; red-tapism.
Officialily;n.;See Officialty.
Officially;adv.;By the proper officer; by virtue of the proper authority; in pursuance of the special powers vested in an officer or office; as, accounts or reports officially vertified or rendered; letters officially communicated; persons officially notified.
Officialty;n.;The charge, office, court, or jurisdiction of an official.
Officiant;n.;The officer who officiates or performs an office, as the burial office.
Officiary;a.;Of or pertaining to an office or an officer; official.
Officiated;imp. & p. p.;of Officiate
Officiating;p. pr. & vb. n.;of Officiate
Officiate;v. i.;To act as an officer in performing a duty; to transact the business of an office or public trust; to conduct a public service.
Officiate;v. t.;To discharge, perform, or supply, as an official duty or function.
Officiator;n.;One who officiates.
Officinal;a.;Used in a shop, or belonging to it.
Officinal;a.;Kept in stock by apothecaries; -- said of such drugs and medicines as may be obtained without special preparation or compounding; not magistral.
Officious;a.;Pertaining to, or being in accordance with, duty.
Officious;a.;Disposed to serve; kind; obliging.
Officious;a.;Importunately interposing services; intermeddling in affairs in which one has no concern; meddlesome.
Offing;n.;That part of the sea at a good distance from the shore, or where there is deep water and no need of a pilot; also, distance from the shore; as, the ship had ten miles offing; we saw a ship in the offing.
Offish;a.;Shy or distant in manner.
Offlet;n.;A pipe to let off water.
Offscouring;n.;That which is scoured off; hence, refuse; rejected matter; that which is vile or despised.
Offscum;n.;Removed scum; refuse; dross.
Offset;n.;In general, that which is set off, from, before, or against, something
Offset;n.;A short prostrate shoot, which takes root and produces a tuft of leaves, etc. See Illust. of Houseleek.
Offset;n.;A sum, account, or value set off against another sum or account, as an equivalent; hence, anything which is given in exchange or retaliation; a set-off.
Offset;n.;A spur from a range of hills or mountains.
Offset;n.;A horizontal ledge on the face of a wall, formed by a diminution of its thickness, or by the weathering or upper surface of a part built out from it; -- called also set-off.
Offset;n.;A short distance measured at right angles from a line actually run to some point in an irregular boundary, or to some object.
Offset;n.;An abrupt bend in an object, as a rod, by which one part is turned aside out of line, but nearly parallel, with the rest; the part thus bent aside.
Offset;n.;A more or less distinct transfer of a printed page or picture to the opposite page, when the pages are pressed together before the ink is dry or when it is poor.
Offset;imp. & p. p.;of Offset
Offsetting;p. pr. & vb. n.;of Offset
Offset;v. t.;To set off; to place over against; to balance; as, to offset one account or charge against another.
Offset;v. t.;To form an offset in, as in a wall, rod, pipe, etc.
Offset;v. i.;To make an offset.
Offshoot;n.;That which shoots off or separates from a main stem, channel, family, race, etc.; as, the offshoots of a tree.
Offshore;a.;From the shore; as, an offshore wind; an offshore signal.
Offskip;n.;That part of a landscape which recedes from the spectator into distance.
Offspring;n.sing. & pl.;The act of production; generation.
Offspring;n.sing. & pl.;That which is produced; a child or children; a descendant or descendants, however remote from the stock.
Offspring;n.sing. & pl.;Origin; lineage; family.
Offuscate;;Alt. of Offuscation
Offuscation;;See Obfuscate, Obfuscation.
Oft;adv.;Often; frequently; not rarely; many times.
Oft;a.;Frequent; often; repeated.
Often;adv.;Frequently; many times; not seldom.
Often;a.;Frequent; common; repeated.
Oftenness;n.;Frequency.
Oftensith;adv.;Frequently; often.
Oftentide;adv.;Frequently; often.
Oftentimes;adv.;Frequently; often; many times.
Ofter;adv.;Compar. of Oft.
Ofttimes;adv.;Frequently; often.
Ogam;n.;Same as Ogham.
Ogdoad;n.;A thing made up of eight parts.
Ogdoastich;n.;A poem of eight lines.
Ogee;n.;A molding, the section of which is the form of the letter S, with the convex part above; cyma reversa. See Illust. under Cyma.
Ogee;n.;Hence, any similar figure used for any purpose.
Ogeechee lime;;The acid, olive-shaped, drupaceous fruit of a species of tupelo (Nyssa capitata) which grows in swamps in Georgia and Florida.
Ogeechee lime;;The tree which bears this fruit.
Ogganition;n.;Snarling; grumbling.
Ogham;n.;A particular kind of writing practiced by the ancient Irish, and found in inscriptions on stones, metals, etc.
Ogive;n.;The arch or rib which crosses a Gothic vault diagonally.
Ogled;imp. & p. p.;of Ogle
Ogling;p. pr. & vb. n.;of Ogle
Ogle;v. t.;To view or look at with side glances, as in fondness, or with a design to attract notice.
Ogle;n.;An amorous side glance or look.
Ogler;n.;One who ogles.
Oglio;n.;See Olio.
Ogre;n.;An imaginary monster, or hideous giant of fairy tales, who lived on human beings; hence, any frightful giant; a cruel monster.
Ogreish;a.;Resembling an ogre; having the character or appearance of an ogre; suitable for an ogre.
Ogress;n.;A female ogre.
Ogreism;n.;Alt. of Ogrism
Ogrism;n.;The character or manners of an ogre.
Ogygian;a.;Of or pertaining to Ogyges, a mythical king of ancient Attica, or to a great deluge in Attica in his days; hence, primeval; of obscure antiquity.
Oh;interj.;An exclamation expressing various emotions, according to the tone and manner, especially surprise, pain, sorrow, anxiety, or a wish. See the Note under O.
Ohm;n.;The standard unit in the measure of electrical resistance, being the resistance of a circuit in which a potential difference of one volt produces a current of one ampere. As defined by the International Electrical Congress in 1893, and by United States Statute, it is a resistance substantially equal to 109 units of resistance of the C.G.S. system of electro-magnetic units, and is represented by the resistance offered to an unvarying electric current by a column of mercury at the temperature of melting ice 14.4521 grams in mass, of a constant cross-sectional area, and of the length of 106.3 centimeters. As thus defined it is called the international ohm.
Oho;interj.;An exclamation of surprise, etc.
Oidium;n.;A genus of minute fungi which form a floccose mass of filaments on decaying fruit, etc. Many forms once referred to this genus are now believed to be temporary conditions of fungi of other genera, among them the vine mildew (Oidium Tuckeri), which has caused much injury to grapes.
Oil;n.;Any one of a great variety of unctuous combustible substances, not miscible with water; as, olive oil, whale oil, rock oil, etc.  They are of animal, vegetable, or mineral origin and of varied composition, and they are variously used for food, for solvents, for anointing, lubrication, illumination, etc. By extension, any substance of an oily consistency; as, oil of vitriol.
Oiled;imp. & p. p.;of Oil
Oiling;p. pr. & vb. n.;of Oil
Oil;v. t.;To smear or rub over with oil; to lubricate with oil; to anoint with oil.
Oilbird;n.;See Guacharo.
Oilcloth;n.;Cloth treated with oil or paint, and used for marking garments, covering floors, etc.
Oiled;a.;Covered or treated with oil; dressed with, or soaked in, oil.
Oiler;n.;One who deals in oils.
Oiler;n.;One who, or that which, oils.
Oilery;n.;The business, the place of business, or the goods, of a maker of, or dealer in, oils.
Oiliness;n.;The quality of being oily.
Oillet;n.;A small opening or loophole, sometimes circular, used in mediaeval fortifications.
Oillet;n.;A small circular opening, and ring of moldings surrounding it, used in window tracery in Gothic architecture.
Oilmen;pl. ;of Oilman
Oilman;n.;One who deals in oils; formerly, one who dealt in oils and pickles.
Oilnut;n.;The buffalo nut. See Buffalo nut, under Buffalo.
Oilseed;n.;Seed from which oil is expressed, as the castor bean; also, the plant yielding such seed. See Castor bean.
Oilseed;n.;A cruciferous herb (Camelina sativa).
Oilseed;n.;The sesame.
Oilskin;n.;Cloth made waterproof by oil.
Oilstone;n.;A variety of hone slate, or whetstone, used for whetting tools when lubricated with oil.
Oily;superl.;Consisting of oil; containing oil; having the nature or qualities of oil; unctuous; oleaginous; as, oily matter or substance.
Oily;superl.;Covered with oil; greasy; hence, resembling oil; as, an oily appearance.
Oily;superl.;Smoothly subservient; supple; compliant; plausible; insinuating.
Oinement;n.;Ointment.
Oinomania;n.;See oenomania.
Ointed;imp. & p. p.;of Oint
Ointing;p. pr & vb. n.;of Oint
Oint;v. t.;To anoint.
Ointment;n.;That which serves to anoint; any soft unctuous substance used for smearing or anointing; an unguent.
Ojibways;n. pl.;Same as Chippeways.
Ojo;n.;A spring, surrounded by rushes or rank grass; an oasis.
Oke;n.;A Turkish and Egyptian weight, equal to about 2/ pounds.
Oke;n.;An Hungarian and Wallachian measure, equal to about 2/ pints.
Okenite;n.;A massive and fibrous mineral of a whitish color, chiefly hydrous silicate of lime.
Oker;n.;See Ocher.
Okra;n.;An annual plant (Abelmoschus, / Hibiscus, esculentus), whose green pods, abounding in nutritious mucilage, are much used for soups, stews, or pickles; gumbo.
Olay;n. pl.;Palm leaves, prepared for being written upon with a style pointed with steel.
Old;n.;Open country.
Old;superl.;Not young; advanced far in years or life; having lived till toward the end of the ordinary term of living; as, an old man; an old age; an old horse; an old tree.
Old;superl.;Not new or fresh; not recently made or produced; having existed for a long time; as, old wine; an old friendship.
Old;superl.;Formerly existing; ancient; not modern; preceding; original; as, an old law; an old custom; an old promise.
Old;superl.;Continued in life; advanced in the course of existence; having (a certain) length of existence; -- designating the age of a person or thing; as, an infant a few hours old; a cathedral centuries old.
Old;superl.;Long practiced; hence, skilled; experienced; cunning; as, an old offender; old in vice.
Old;superl.;Long cultivated; as, an old farm; old land, as opposed to new land, that is, to land lately cleared.
Old;superl.;Worn out; weakened or exhausted by use; past usefulness; as, old shoes; old clothes.
Old;superl.;More than enough; abundant.
Old;superl.;Aged; antiquated; hence, wanting in the mental vigor or other qualities belonging to youth; -- used disparagingly as a term of reproach.
Old;superl.;Old-fashioned; wonted; customary; as of old; as, the good old times; hence, colloquially, gay; jolly.
Old;superl.;Used colloquially as a term of cordiality and familiarity.
Olden;a.;Old; ancient; as, the olden time.
Olden;v. i.;To grow old; to age.
Old-fashioned;a.;Formed according to old or obsolete fashion or pattern; adhering to old customs or ideas; as, an old-fashioned dress, girl.
Old-gentlemanly;a.;Pertaining to an old gentleman, or like one.
Oldish;a.;Somewhat old.
Old lang syne;;See Auld lang syne.
Old-maidish;a.;Like an old maid; prim; precise; particular.
Old-maidism;n.;The condition or characteristics of an old maid.
Oldness;n.;The state or quality of being old; old age.
Oldster;n.;An old person.
Old-womanish;a.;Like an old woman; anile.
Olea;n.;A genus of trees including the olive.
Oleaceous;a.;Of, pertaining to, or resembling, a natural order of plants (Oleaceae), mostly trees and shrubs, of which the olive is the type. It includes also the ash, the lilac, the true jasmine, and fringe tree.
Oleaginous;a.;Having the nature or qualities of oil; oily; unctuous.
Oleaginousness;n.;Oiliness.
Oleamen;n.;A soft ointment prepared from oil.
Oleander;n.;A beautiful evergreen shrub of the Dogbane family, having clusters of fragrant red or white flowers. It is native of the East Indies, but the red variety has become common in the south of Europe. Called also rosebay, rose laurel, and South-sea rose.
Oleandrine;n.;One of several alkaloids found in the leaves of the oleander.
Oleaster;n.;The wild olive tree (Olea Europea, var. sylvestris).
Oleaster;n.;Any species of the genus Elaeagus. See Eleagnus. The small silvery berries of the common species (Elaeagnus hortensis) are called Trebizond dates, and are made into cakes by the Arabs.
Oleate;n.;A salt of oleic acid. Some oleates, as the oleate of mercury, are used in medicine by way of inunction.
Olecranal;a.;Of or pertaining to the olecranon.
Olecranon;n.;The large process at the proximal end of the ulna which projects behind the articulation with the humerus and forms the bony prominence of the elbow.
Olefiant;a.;Forming or producing an oil; specifically, designating a colorless gaseous hydrocarbon called ethylene.
Olefine;n.;Olefiant gas, or ethylene; hence, by extension, any one of the series of unsaturated hydrocarbons of which ethylene is a type. See Ethylene.
Oleic;a.;Pertaining to, derived from, or contained in, oil; as, oleic acid, an acid of the acrylic acid series found combined with glyceryl in the form of olein in certain animal and vegetable fats and oils, such as sperm oil, olive oil, etc. At low temperatures the acid is crystalline, but melts to an oily liquid above 14/ C.
Oleiferous;a.;Producing oil; as, oleiferous seeds.
Olein;n.;A fat, liquid at ordinary temperatures, but solidifying at temperatures below 0� C., found abundantly in both the animal and vegetable kingdoms (see Palmitin). It dissolves solid fats, especially at 30-40� C. Chemically, olein is a glyceride of oleic acid; and, as three molecules of the acid are united to one molecule of glyceryl to form the fat, it is technically known as triolein. It is also called elain.
Olent;a.;Scented.
Oleograph;n.;The form or figure assumed by a drop of oil when placed upon water or some other liquid with which it does not mix.
Oleograph;n.;A picture produced in oils by a process analogous to that of lithographic printing.
Oleomargarine;n.;A liquid oil made from animal fats (esp. beef fat) by separating the greater portion of the solid fat or stearin, by crystallization. It is mainly a mixture of olein and palmitin with some little stearin.
Oleomargarine;n.;An artificial butter made by churning this oil with more or less milk.
Oleometer;n.;An instrument for ascertaining the weight and purity of oil; an elaiometer.
Oleone;n.;An oily liquid, obtained by distillation of calcium oleate, and probably consisting of the ketone of oleic acid.
Oleoptene;n.;See Eleoptene.
Oleoresin;n.;A natural mixture of a terebinthinate oil and a resin.
Oleoresin;n.;A liquid or semiliquid preparation extracted (as from capsicum, cubebs, or ginger) by means of ether, and consisting of fixed or volatile oil holding resin in solution.
Oleose;a.;Alt. of Oleous
Oleous;a.;Oily.
Oleosity;n.;The state or quality of being oily or fat; fatness.
Oleraceous;a.;Pertaining to pot herbs; of the nature or having the qualities of herbs for cookery; esculent.
Olf;n.;The European bullfinch.
Olfaction;n.;The sense by which the impressions made on the olfactory organs by the odorous particles in the atmosphere are perceived.
Olfactive;a.;See Olfactory, a.
Olfactor;n.;A smelling organ; a nose.
Olfactory;a.;Of, pertaining to, or connected with, the sense of smell; as, the olfactory nerves; the olfactory cells.
Olfactories;pl. ;of Olfactory
Olfactory;n.;An olfactory organ; also, the sense of smell; -- usually in the plural.
Oliban;n.;See Olibanum.
Olibanum;n.;The fragrant gum resin of various species of Boswellia; Oriental frankincense.
Olibene;n.;A colorless mobile liquid of a pleasant aromatic odor obtained by the distillation of olibanum, or frankincense, and regarded as a terpene; -- called also conimene.
Olid;a.;Alt. of Olidous
Olidous;a.;Having a strong, disagreeable smell; fetid.
Olifant;n.;An elephant.
Olifant;n.;An ancient horn, made of ivory.
Oligandrous;a.;Having few stamens.
Oliganthous;a.;Having few flowers.
